 : 24848
慢性根尖周炎(乳牙滞留) : 1
开口受限待查(放疗后) : 1
牙周治疗 : 1
疱疹性口龈炎 : 1
软组织外伤 : 1
青春期龈炎 : 1
继发龋（牙髓治疗后）(深) : 1
牙微裂(牙髓治疗后) : 1
窝沟龋 : 1
牙缺损（根管治疗后) : 1
黏膜白斑 : 1
肿瘤 : 1
肿物待查(舌侧牙龈) : 1
牙龈出血 : 1
磨损(充填体) : 1
根尖诱导成形术后 : 1
副肿瘤型天疱疮 : 1
下唇炎性增生 : 1
深龋(继发龋) : 1
肿物待查(右上颌结节) : 1
根管治疗后 : 1
舌背肿物? : 1
低位阻生 : 1
颌面部间隙感染？ : 1
肿物待查(左舌根) : 1
肿物待查(右下磨牙后区) : 1
根管治疗诊间疼痛 : 1
眶下间隙感染 : 1
慢性根尖周炎(楔状缺损) : 1
可复性盘前移位? : 1
慢性牙髓炎急性发作(伴隐裂) : 1
牙髓牙周联合征(根管治疗后) : 1
骨尖 : 1
外伤术后 : 1
多发龋 : 1
置：向患者交代目前情况、治疗方案、修复类型、大致费用等，向患者说明因自身条件差，修复预期效果欠佳，患者知情,理解，交代拆除旧修复体牙根折裂、敏感的风险，患者知情,理解。拆除后，III°松动，II°松动，远中充填体脱落，可探及继发龋。补充 : 1
不完善根管治疗，慢性根尖周炎 : 1
选择性根管治疗 : 1
右上牙龈撕裂伤 : 1
再发龋（牙髓治疗后）(牙髓治疗后) : 1
白塞病 : 1
深龋(外院治疗中) : 1
慢性根尖周炎(冠折) : 1
安氏Ⅰ类，毛氏Ⅲ : 1
面部斑痣(左颊) : 1
牙髓坏死(髓底穿孔) : 1
白色角化症? : 1
下唇钝挫伤 : 1
慢性根尖周炎(牙劈裂) : 1
右下牙槽嵴及右后颊部可及手术瘢痕。右颊粘膜可及散在白色斑纹，界清，周围粘膜充血，未高起于粘膜表面。 : 1
慢性根尖周炎?(牙隐裂) : 1
颌面缺损 : 1
分类、II类 : 1
口腔念珠菌病 : 1
唇疱疹 : 1
完善相关检查 : 1
慢性根尖周炎(牙髓治疗中) : 1
肿物 : 1
慢性根尖周炎(根管内吸收) : 1
静脉畸形(（海绵状血管瘤）) : 1
感染性口炎? : 1
冠折露髓(急诊开髓后) : 1
慢性牙髓炎(晚期) : 1
舌下腺囊肿口外型 : 1
忌食 : 1
慢性根尖周炎急性发作(畸形中央尖折断) : 1
